Version, 1.3 ,Room Amount, 6 ,Occupant Amount, 16
Start Time, 1-1 ,End Time, 12-32,Number of Steps per Hour, 6
Room Number,0,1,2,3,4,5,6,-1, 
Room ID,S0_Outdoor,S1_PERIMETER_ZN_1,S2_CORE_ZN,S3_ATTIC,S4_PERIMETER_ZN_2,S5_PERIMETER_ZN_3,S6_PERIMETER_ZN_4,Outside building, 
Occupant Number,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
Occupant ID,S1_PERIMETER_ZN_1_O1,S1_PERIMETER_ZN_1_O2,S1_PERIMETER_ZN_1_O3,S1_PERIMETER_ZN_1_O4,S1_PERIMETER_ZN_1_O5,S4_PERIMETER_ZN_2_O1,S4_PERIMETER_ZN_2_O2,S4_PERIMETER_ZN_2_O3,S5_PERIMETER_ZN_3_O1,S5_PERIMETER_ZN_3_O2,S5_PERIMETER_ZN_3_O3,S5_PERIMETER_ZN_3_O4,S5_PERIMETER_ZN_3_O5,S6_PERIMETER_ZN_4_O1,S6_PERIMETER_ZN_4_O2,S6_PERIMETER_ZN_4_O3,
Step,Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
161, 1/2 2:50:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
162, 1/2 3:0:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
163, 1/2 3:10:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
164, 1/2 3:20:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
165, 1/2 3:30:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
166, 1/2 3:40:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
167, 1/2 3:50:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
168, 1/2 4:0:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
169, 1/2 4:10:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
170, 1/2 4:20:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
171, 1/2 4:30:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
172, 1/2 4:40:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
173, 1/2 4:50:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
174, 1/2 5:0:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
175, 1/2 5:10:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
176, 1/2 5:20:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
177, 1/2 5:30:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
178, 1/2 5:40:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
179, 1/2 5:50:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
180, 1/2 6:0:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
181, 1/2 6:10:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
182, 1/2 6:20:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
183, 1/2 6:30:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
184, 1/2 6:40:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
185, 1/2 6:50:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
186, 1/2 7:0:00, -1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
