Computation Time (s),Average Daily Temperature Variation (°C),Average Daily Energy Consumption (kWh),Average Daily Reward
4.352220058441162,0.9705057541529337,297988.30127716064,[-2.2267063]
4.246155023574829,0.6592304971483018,307097.60761260986,[-1.6709952]
4.121985912322998,0.8706115749147203,300716.9189453125,[-2.0265095]
4.1623640060424805,0.9373892678154839,302822.1244812012,[-2.151944]
4.117633104324341,1.19208820660909,294925.3978729248,[-2.6081026]
4.105009078979492,1.2025639745924208,294504.3525695801,[-2.6488729]
4.115845203399658,0.8370793528027005,304576.77268981934,[-1.9830651]
4.0810229778289795,0.762780851787991,302862.27893829346,[-1.7980913]
4.088415861129761,0.8291469017664591,305097.57709503174,[-1.9606642]
4.063868045806885,0.6345237361060249,308086.9665145874,[-1.5811828]
4.078742980957031,0.766910990079244,301743.85356903076,[-1.8289375]
4.042809724807739,0.9665102296405368,300822.44205474854,[-2.195052]
4.1103129386901855,0.686551014582316,305544.8589324951,[-1.6663566]
3.9708681106567383,0.8370394441816542,300299.7236251831,[-1.9746987]
4.301699161529541,0.7337882253858778,303686.67697906494,[-1.7706114]
4.353533983230591,0.821049968401591,301303.4334182739,[-1.9296765]
4.180623769760132,1.0344466235902574,297212.5234603882,[-2.323015]
4.330219984054565,0.881647441122267,301788.5217666626,[-2.0536137]
4.110450029373169,0.6367275847329034,311172.4796295166,[-1.5638062]
4.233443975448608,0.7909958097669814,304587.30030059814,[-1.879749]
4.261250019073486,0.8447555038664076,303666.02754592896,[-1.9453182]
4.120694160461426,0.7205586433410645,307842.02098846436,[-1.7298346]
4.5939929485321045,0.8168231646219889,304025.785446167,[-1.877081]
4.08042311668396,0.6644356648127238,307266.16859436035,[-1.6220993]
4.160637855529785,0.6102486451466879,311596.08936309814,[-1.4993567]
4.2786009311676025,0.9366460906134711,302153.6235809326,[-2.1272864]
4.289145231246948,0.769507884979248,303314.1574859619,[-1.7932916]
4.206135034561157,0.9648583465152316,300516.40033721924,[-2.1569636]
4.115234851837158,0.8207775486840142,303556.45179748535,[-1.8890676]
